Date,Item, Category , Cash Jaz , Credit Jaz , Debit BBVA Jaz , Debit HSBC Jaz , Groceries Jaz , Cash Ivan , Credit Ivan Hey , Credit Ivan BBVA , Debit Ivan , Groceries Ivan 
6/Nov/2021,Chedrahui, Eat Out ,,,,,,,, $ 85.00 ,,
6/Nov/2021,Chedahui, Food Med ,,,,, $ 900.00 ,,,,, $ 384.11 
6/Nov/2021,Juego Switch, Entretainment ,,,,,,,, $ 504.57 ,,
6/Nov/2021,Barbacoa, Family ,,,,,,,,," $ 1,500.00 ",
7/Nov/2021,Casa Tono, Eat Out ,,,,,,,,, $ 879.00 ,
8/Nov/2021,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
10/Nov/2021,Cabello, Services ,,,,,, $ 16.00 ,, $ 290.00 ,,
13/Nov/2021,Tamales, Eat Out ,,,,,, $ 82.00 ,,,,
15/Nov/2021,Casetas, Car ,,,,,,,," $ 1,000.00 ",,
15/Nov/2021,Gastos Carretera, Go Out ,,,,,, $ 143.00 ,,,,
15/Nov/2021,Gasolina, Car ,,,,,, $ 8.00 , $ 918.00 ,,,
15/Nov/2021,Pizza, Eat Out ,,,,,, $ 600.00 ,,,,
15/Nov/2021,Prime, Services ,,,,,,,, $ 99.00 ,,
15/Nov/2021,Semana Reyna, Food Med ,,,,,,,,," $ 1,500.00 ",
18/Nov/2021,Despensa, Food Med ,,,,," $ 1,889.25 ",,,,,
19/Nov/2021,Despensa, Food Med ,,,,, $ 332.29 , $ 15.00 ,,,,
19/Nov/2021,Beer, Eat Out ,,,,,,, $ 84.00 ,,,
19/Nov/2021,Ian Jabon, Food Med ,,, $ 744.50 ,,,,,,,
21/Nov/2021,Vestido, Clothes ,,," $ 1,313.00 ",,,,,,,
21/Nov/2021,Hania, Go Out ,,,,, $ 104.15 ,,,,, $ 227.00 
21/Nov/2021,Donas, Eat Out ,,,,,,, $ 233.00 ,,,
21/Nov/2021,Tacos, Eat Out ,,, $ 500.00 ,,,,,,,
21/Nov/2021,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
21/Nov/2021,Gas, Services ,,, $ 700.00 ,,,,,,,
22/Nov/2021,iPhone Ivan, MSI ,,,,,,," $ 18,208.00 ",,,
22/Nov/2021,iPhone Case, Entretainment ,,,,,,, $ 479.99 ,,,
22/Nov/2021,ATT Ivan, Services ,,,,,,, $ 559.00 ,,,
23/Nov/2021,iPhone Jaz, MSI ,," $ 18,448.99 ",,,,,,,,
25/Nov/2021,Cargador iPhone, Entretainment ,,,,,,, $ 313.39 ,,,
27/Nov/2021,Extracciones Dent, Health ,,," $ 3,000.00 ",,,,,,,
27/Nov/2021,Brackets, Health ,,," $ 2,000.00 ",,,,,,,
27/Nov/2021,Pediatra y Vacuna, Baby ,,," $ 2,100.00 ",,,,,,,
27/Nov/2021,Toks, Eat Out ,,,,,,,,,,
28/Nov/2021,Calvin Calzones, Clothes ,,, $ 799.20 ,,,,,,,
28/Nov/2021,Tenis Jaz, Clothes ,,," $ 1,399.00 ",,,,,,,
28/Nov/2021,Beer, Food Med ,,,,,,, $ 69.00 ,,,
28/Nov/2021,Despensa, Food Med ,,,,, $ 408.00 ,,,,,
28/Nov/2021,Despensa, Food Med ,,,,,, $ 10.00 , $ 927.27 ,,,
28/Nov/2021,Babero, Baby ,,, $ 199.00 ,,,,,,,
28/Nov/2021,50 Friends, Eat Out ,,," $ 1,104.00 ",,,,,,,
28/Nov/2021,Estacionamiento, Go Out ,,,,,, $ 45.00 ,,,,
29/Nov/2021,Semana Reyna, Food Med ,,,,,,,,," $ 1,500.00 ",
29/Nov/2021,iPhone Ivan, Ivan ,,,,,,," $ 2,950.00 ",,,
30/Nov/2021,Analisis, Baby ,," $ 5,897.41 ",,,,,,,,
30/Nov/2021,Gasolina, Car ,,,,,,, $ 479.80 ,,,
3/Dec/2021,Stellantis, Go Out ,,,,,, $ 250.00 ,,,,
3/Dec/2021,Despensa, Food Med ,,,,,,,,,,
3/Dec/2021,Despensa, Food Med ,, $ 234.50 ,,,,,,,,
3/Dec/2021,Estacionamientos, Go Out ,,,,,, $ 60.00 ,,,,
3/Dec/2021,Tlacoyos, Eat Out ,,,,,, $ 290.00 ,,,,
4/Dec/2021,Desayuno, Eat Out ,,,,,, $ 90.00 , $ 994.75 ,,,
4/Dec/2021,Botana, Eat Out ,,,,,, $ 43.00 ,,,,
4/Dec/2021,Renta Diciembre, Rent ,,," $ 3,000.00 ",,,,,," $ 3,000.00 ",
7/Dec/2021,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
7/Dec/2021,Toallas, Baby ,,,,,,, $ 683.10 ,,,
9/Dec/2021,Jaz high heels, Clothes ,, $ 257.40 ,,,,,,,,
9/Dec/2021,Saco tintoreria, Clothes ,,, $ 90.00 ,,,,,,,
9/Dec/2021,Ian Nefrólogo , Baby ,,,,,,," $ 1,500.00 ",,,
9/Dec/2021,Estacionamiento, Baby ,,,,,, $ 36.00 ,,,,
9/Dec/2021,Jarabe, Baby ,,, $ 557.00 ,,,,,,,
10/Dec/2021,Gasolina , Car ,,,,,,, $ 719.70 ,,,
12/Dec/2021,Despensa, Food Med ,,,,,, $ 10.00 , $ 532.80 ,,,
12/Dec/2021,Ensaladas, Eat Out ,,,,,,, $ 243.72 ,,,
12/Dec/2021,Tacos Cabeza, Eat Out , $ 300.00 ,,,,,, $ 185.00 ,,,
12/Dec/2021,Ihop, Eat Out ,,,,,,, $ 624.00 ,,,
13/Dec/2021,Amazon, Baby ,,,,,,," $ 1,457.50 ",,,
13/Dec/2021,Prime, Services ,,,,,,,, $ 99.00 ,,
13/Dec/2021,Semana Reyna, Food Med ,,,,,,,,," $ 1,500.00 ",
15/Dec/2021,Netflix, Services ,,, $ 75.00 ,,,,,, $ 75.00 ,
16/Dec/2021,Airbnb, Vacation ,,,,,,," $ 7,677.84 ",,,
17/Dec/2021,Hooters, Eat Out ,,,,,,," $ 1,068.40 ",,,
17/Dec/2021,Uber, Go Out ,,,,,,,, $ 164.93 ,,
18/Dec/2021,Vips, Eat Out ,,,,,, $ 105.00 , $ 405.00 ,,,
18/Dec/2021,Consulta Ian, Baby ,,, $ 500.00 ,,,,,, $ 500.00 ,
19/Dec/2021,Despensa, Food Med ,,,,," $ 1,212.38 ",,,,,
19/Dec/2021,Carrito Ian, Baby ,,,," $ 1,802.54 ",,,,,,
19/Dec/2021,Uber Eats, Eat Out ,,,,,,, $ 279.70 ,,,
20/Dec/2021,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
20/Dec/2021,Traje Ian, Baby ,,, $ 470.00 ,,,,,,,
20/Dec/2021,Libro, Ivan ,,,,,,, $ 129.00 ,,,
21/Dec/2021,La Comer, Food Med ,,,,,,,,,," $ 1,170.49 "
22/Dec/2021,Amazon, Baby ,,,,,,, $ 912.99 ,,,
23/Dec/2021,Cena Navidad, Food Med ,,,,,,,,,, $ 673.69 
23/Dec/2021,Regalo Abu, Gift ,,,,,," $ 1,000.00 ",,,,
25/Dec/2021,Porco Rosso, Eat Out ,,,,,, $ 70.00 ,, $ 708.40 ,,
26/Dec/2021,Comida China, Eat Out ,,, $ 190.00 ,,,,,,,
26/Dec/2021,Tianguis, Food Med ,,,,,, $ 150.00 ,,,,
27/Dec/2021,ATT Ivan, Services ,,,,,,, $ 518.00 ,,,
27/Dec/2021,Comida, Eat Out ,,,,,,, $ 433.70 ,,,
28/Dec/2021,Gasolina , Vacation ,,,,,,, $ 719.70 ,,,
28/Dec/2021,Walmart, Vacation ,,,,,,, $ 438.00 ,,,
28/Dec/2021,Tamales, Eat Out ,,,,,, $ 84.00 ,,,,
